Mes,Hora,MP_2.5,MP_10,Temp._promedio_aire,Precipitacion_horaria,Humed._rel._Promedio,Presion_Atm,Rad_solar,Veloc_viento,Direccion_viento
1,18,1,0,24.1,0,45.3,1016,411.3,1.7,282.2
1,8,4.08,0,15.1,0,67.9,1019,341.6,3.6,137.7
1,9,8.77,0,16.5,0,67,1019,544.5,3.2,88.6
1,10,24.45,0,18.7,0,59.3,1019,720.3,2.3,104.4
1,11,20.37,0,20.7,0,56.3,1018,859,1.5,91.2
1,12,6.11,0,22.6,0,48.9,1017,932,2.2,141.4
1,13,4.07,0,24.4,0,41.8,1017,963,1.9,66.4
1,14,2.04,0,26.3,0,47,1016,980,0.1,280.3
1,15,4.07,0,26.8,0,43.1,1016,910,0.8,219.1
1,16,4.14,0,26.6,0,37.5,1016,781.5,1.9,241.1
1,17,1.31,0,26.3,0,39,1016,613.7,1,244.5
1,18,1,0,25.7,0,36.2,1016,419.5,0.3,228
1,8,9.51,0,18.7,0,65.1,1017,331.2,0.1,161.9
1,9,23.09,0,18.9,0,62.6,1017,521.2,0.6,302.4
1,10,16.72,0,21.8,0,44.4,1017,705.6,0.9,163.2
1,11,2.04,0,21.9,0,67.6,1017,498.2,2.9,269.3
1,12,1,0,22.1,0,62.9,1017,950,2.5,291.4
1,13,1,0,22.2,0,63.5,1017,924,3.4,280.1
1,14,1,0,21.9,0,60.7,1017,761.4,3.8,261.9
1,15,3.39,0,22.3,0,61.4,1016,760.6,3,265
1,16,1,0,22.4,0,55.4,1016,772.2,2.7,242.1
1,17,1,0,21.8,0,53.6,1016,584.3,2.8,285.5
1,18,2.22,0,20,0,57.2,1016,246,2.3,277.7
1,8,15.73,0,16,0,90.6,1019,115.6,0.3,34
1,9,20.06,0,16.8,0,87.9,1019,164.9,0.2,348.2
1,10,7.47,0,16.6,0,91.3,1019,216.7,0.1,80.4
1,11,5.43,0,17.8,0,88.8,1019,340.3,0.8,336.7
1,12,4.07,0,0,0,0,0,0,0,0
1,13,4.75,0,20,0,77.2,1019,341.1,1.2,345.6
1,14,2.72,0,21.2,0,74.2,1018,516.3,1.1,292.5
1,15,1,0,22.2,0,70,1018,940,1.8,288.8
1,16,1,0,22.5,0,66.4,1018,836,3.1,239.6
1,17,2.27,0,20.9,0,72.6,1018,590.1,3.7,276.6
1,18,1,0,21.5,0,69.8,1018,396.5,1.5,216.2
1,8,0,0,18,0,73.8,1020,313.3,1.8,152.5
1,9,0,0,19.4,0,68.9,1020,503.6,2.2,180.1
1,10,0,0,21.4,0,55.5,1020,681.7,3.6,142.4
1,11,25.37,26.16,,,,,,,
1,12,1,1.01,,,,,,,
1,13,1,1.73,,,,,,,
1,14,1,2.51,,,,,,,
1,15,1,1,,,,,,,
1,16,1,1,,,,,,,
1,17,1.36,1,,,,,,,
1,18,1,1,,,,,,,
1,8,16.98,2.48,21,0,62.4,1018,312.4,0.5,105.2
1,9,3.92,17.66,22,0,61.8,1018,511.8,2.8,165.5
1,10,2.21,1,24.1,0,56.6,1018,693.4,2.4,84.2
1,11,1,1,25.6,0,52,1017,837,3.1,172.1
1,12,1,1,26.9,0,49.4,1017,922,3.7,142.3
1,13,1,1,28.8,0,42.1,1016,957,3.4,110.2
1,14,1,2.12,30.6,0,34.6,1015,939,3.2,89.9
1,15,2.03,1.01,32.3,0,31.9,1014,892,2.3,138.5
1,16,1.33,1.01,33.2,0,32.9,1013,763.5,2.5,166
1,17,1.48,1,33.7,0,35.8,1012,594.7,1.9,153.8
1,18,1.39,1,34,0,37.1,1012,394.4,1.4,215.1
1,8,8.15,4.07,19.9,0,79.1,1015,316.3,1,135
1,9,5.43,5.56,21.5,0,75.2,1015,513.3,0.6,161.7
1,10,1.36,0,23.2,0,67.8,1015,689.8,1.1,197.8
1,11,1.36,1.44,25.6,0,61.5,1015,835,1,42.7
1,12,1.53,1.49,26.5,0,59.1,1015,928,1.8,213.6
1,13,6.79,4.07,26.4,0,60.6,1014,955,2.7,265.1
1,14,9.5,3.57,27.4,0,52.8,1014,929,2.3,218.6
1,15,5.42,2.7,,,,,,,
1,16,6.81,3.64,28.3,0,52.5,1014,740,1.4,208.3
1,17,6.79,7.02,28,0,59.3,1013,577.4,2,259.4
1,18,0,3.98,27,0,56.2,1013,386.3,2.1,228.2
1,8,0,7.63,19.5,0,61,1014,313.2,0.9,132.2
1,9,0,4.72,20.4,0,53.1,1014,509.2,2.1,152.4
1,10,0,0,21.5,0,54,1014,692,1.6,152.6
1,11,0,0,22.9,0,48,1013,835,1.8,116.3
1,12,0,0,24.7,0,47.1,1013,934,1.8,206.6
1,13,3.54,0,25.4,0,49.4,1012,965,1.6,175.3
1,14,2.54,0,24.9,0,44.8,1012,924,3.1,247.5
1,15,1.36,0,24.3,0,45.1,1012,857,3.5,259.9
1,16,4.08,0,23.7,0,51.2,1011,748.4,3,321.8
1,17,6.15,0,23,0,53.4,1011,588,2.9,271.8
1,18,4.08,0,22,0,48.9,1011,390.5,2.7,253.3
1,8,4.07,0,15.8,0,70.4,1012,288.6,0.6,230
1,9,1.36,0,18.3,0,60.5,1012,497.8,0.5,19.4
1,10,1.64,0,19.4,0,58.8,1012,662.7,1,116.4
1,11,4.08,0,20.2,0,51.2,1012,812,0.8,162.6
1,12,4.08,0,20,0,58,1012,601.3,1.6,296.9
1,13,1.74,0,21.2,0,46.4,1012,950,2.9,251.4
1,14,2.04,0,22,0,39.1,1012,955,1.4,226.3
1,15,2.59,0,23.2,0,39.8,1011,886,2.5,324
1,16,6.11,0,22,0,45.5,1011,768,4.1,281.3
1,17,8.83,0,20.2,0,50.2,1012,596.5,4.6,267.1
1,18,6.06,0,19.3,0,56.8,1012,401.5,3.8,279.9
1,8,13.55,0,15.2,0,89.5,1017,210.4,0.4,151.7
1,9,11.08,0,16.5,0,86,1017,378.7,0.2,10.7
1,10,6.79,0,19.6,0,61.4,1016,580.6,1.1,232.5
1,11,6.75,0,20.1,0,62.9,1016,781.2,1.5,275.8
1,12,7.47,0,20.4,0,47.7,1017,952,3.3,206.1
1,13,5.43,0,21.4,0,43.4,1017,1007,2.8,280.6
1,14,6.78,0,20.8,0,48.9,1017,946,3.9,274.7
1,15,6.79,0,20.5,0,42.3,1017,888,3.8,218.4
1,16,4.08,0,20.1,0,45.1,1018,769.6,3.9,245.4
1,17,4.76,0,,,,,,,
1,18,8.83,0,,,,,,,
1,8,6.08,0,14.2,0,65.9,1020,312.5,2.2,178.6
1,9,5.43,0,15.5,0,62,1019,517.6,3,139.8
1,10,8.15,0,17.1,0,54.3,1019,704.8,3.8,129.6
1,11,6.79,0,18.5,0,39.1,1018,846,4.2,147.1
1,12,4.08,0,20.1,0,39.9,1018,943,3.8,146.4
1,13,5.2,0,21.1,0,38,1017,963,3.7,139.8
1,14,5.43,0,22.1,0,33.4,1016,950,4.1,136
1,15,7.47,0,22.7,0,35.6,1016,888,3.8,101.8
1,16,6.06,0,23.2,0,36.8,1015,759.9,3.4,166.1
1,17,4.08,0,23,0,35.8,1015,589.8,4,110.7
1,18,3.5,0,22.8,0,37,1015,398.4,3.2,151.8
2,8,7.42,0,13.5,0,69.5,1016,295.3,3.8,105.9
2,9,4.76,0,14.5,0,64,1015,516.3,3.4,89.6
2,10,4.76,0,16.4,0,57.2,1015,710.5,2.7,101.9
2,11,7.46,0,17.8,0,58.2,1014,843,2.5,121.9
2,12,6.12,0,19.3,0,51.5,1014,926,2.5,122
2,13,2.73,0,21.6,0,42.2,1013,951,1.4,128.4
2,14,5.45,0,22.7,0,39.9,1013,950,1.9,130
2,15,10.31,0,23.1,0,42.2,1012,884,2.3,239.8
2,16,9.42,0,23,0,47.1,1012,758.8,2.9,252.7
2,17,6.11,0,23.1,0,41.1,1011,592.1,2.2,247.5
2,18,4.44,0,22.6,0,43.4,1011,395,2.1,261.8
2,8,6.77,0,14.9,0,69.8,1011,296.2,0.5,169.2
2,9,4.07,0,16.6,0,60.5,1011,461.6,0.9,99.9
2,10,4.08,0,16.9,0,62.2,1011,411.7,0.9,58.8
2,11,5.15,0,18.5,0,56.6,1011,869,1.7,71.8
2,12,1.36,0,19.2,0,52.7,1011,845,2.3,275.9
2,13,1,0,19.3,0,54.3,1011,682.3,3,268.2
2,14,4.08,0,19.6,0,52.8,1011,847,3.5,225.6
2,15,2.04,0,19.3,0,56.6,1011,844,4.5,283.6
2,16,2.04,0,19.5,0,47.9,1011,724.2,3.1,230.5
2,17,3.4,0,19.2,0,53.8,1010,339.4,2.3,278.9
2,18,2.49,0,18.4,0,57,1010,320.7,2.7,311.2
2,8,10.84,0,14.4,0,94.8,1011,33.7,0.8,20.8
2,9,8.83,0,14.7,0,92.8,1011,94.9,1.5,49
2,10,7.47,0,15.4,0,91.9,1012,315.8,1.9,27.2
2,11,2.04,0,17,0,84.7,1011,325.7,1.2,3.4
2,12,4.08,0,18.6,0,74.8,1011,968,3.5,13.4
2,13,8.15,0,19.7,0,74.2,1011,1030,3.7,333.6
2,14,6.02,0,21.6,0,60.1,1011,955,2.8,280.3
2,15,6.79,0,21.2,0,56.1,1011,639.8,2.5,242.8
2,16,5.41,0,20.9,0,49,1011,762.4,2.8,217.1
2,17,3.4,0,20.1,0,59.2,1011,580.2,2.1,218
2,18,1.36,0,20.2,0,62.4,1011,386.6,1.3,234.3
2,8,2.83,0,12.9,0,97.8,1016,230.8,0.2,12.1
2,9,5,0,16.4,0,69.6,1016,390.5,1.5,138.5
2,10,3.92,0,18.4,0,61.1,1016,559,1.5,185.8
2,11,3.98,0,19.8,0,50.2,1016,735.5,1.8,153.2
2,12,4.32,0,20.9,0,51,1016,984,1.1,181.5
2,13,1.15,0,21.8,0,47.1,1016,1098,1.7,152.4
2,14,2.57,0,20.1,0,54.1,1017,441.9,2.4,216.2
2,15,4.99,0,21.4,0,50.4,1017,947,2.6,221.1
2,16,3.48,0,21.3,0,48.1,1016,776.1,3,258.5
2,17,1.36,0,21.4,0,49.1,1016,628.5,2.6,263.9
2,18,3.4,0,21.1,0,42.8,1016,390.5,2.4,278.3
2,8,8.47,0,13.1,0,84,1018,293.2,0.3,24.4
2,9,6.96,0,15.4,0,73.5,1018,483.4,1.2,337.9
2,10,5.57,0,18,0,61.7,1017,668.6,0.8,325.2
2,11,5.54,0,19.9,0,57.4,1017,816,1.1,17.9
2,12,4.75,0,22.1,0,49.3,1017,914,0.7,105.3
2,13,5,0,23.4,0,39.4,1016,953,1.4,254.3
2,14,4.96,0,24.2,0,43.9,1015,937,1.9,258.6
2,15,4.13,0,22.5,0,49.7,1015,848,3.4,281.5
2,16,3.4,0,22.5,0,46.8,1014,731.7,3.2,263.6
2,17,4.07,0,22.9,0,46.8,1014,572,2.5,256.7
2,18,4.08,0,22.1,0,46.2,1013,380.7,2.3,268.3
2,8,9,0,14.5,0,68.6,1014,293.7,0.5,264.7
2,9,4,0,17.1,0,63.3,1014,484.3,2.3,155.1
2,10,2.52,0,18.6,0,57.4,1014,660,1.9,165
2,11,3.44,0,20.6,0,54.4,1014,857,2.3,107
2,12,0,4.82,21.5,0,54.4,1014,982,2.3,164.1
2,13,4.08,0,22,0,52.1,1013,933,2.3,157
2,14,5.43,0,23.6,0,48.8,1013,930,1.5,104.5
2,15,4.81,0,22.8,0,51.4,1013,892,3.2,255.1
2,16,4.08,0,22.7,0,52.6,1012,731.9,2.8,260.8
2,17,6.4,0,22.3,0,53.4,1012,566.1,2.6,309
2,18,8.9,0,21.2,0,53.7,1012,372,2.8,243
